title,series,remakes,year,mpaa,runtime,language,director,firstCredit,secondCredit,imdbRating,rtRating,metaRating,action,adventure,animation,biography,comedy,crime,documentary,drama,fantasy,history,horror,music,musical,mystery,romance,scifi,sport,thriller,western
Frost/Nixon,NA,NA,2008,R,122,English,Ron Howard,Michael Sheen,Frank Langella,0.77,0.93,0.8,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Batman Begins,The Dark Knight Trilogy,NA,2005,PG-13,140,English,Christopher Nolan,Christian Bale,Michael Caine,0.82,0.84,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight,The Dark Knight Trilogy,NA,2008,PG-13,152,English,Christopher Nolan,Christian Bale,Michael Caine,0.9,0.94,0.84,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight Rises,The Dark Knight Trilogy,NA,2012,PG-13,164,English,Christopher Nolan,Christian Bale,Michael Caine,0.84,0.87,0.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,NA,NA,1964,PG,95,English,Stanley Kubrick,Peter Sellers,George C. Scott,0.84,0.98,0.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Into the Spider-Verse,NA,NA,2018,PG,117,English,Bob Persichetti,Shameik Moore,Jake Johnson,0.84,0.97,0.87,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jojo Rabbit,NA,NA,2019,PG-13,108,English,Taika Waititi,Roman Griffin Davis,Thomasin McKenzie,0.79,0.8,0.58,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Richard Jewell,NA,NA,2019,R,131,English,Clint Eastwood,Paul Walter Hauser,Sam Rockwell,0.75,0.77,0.68,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Goonies,NA,NA,1985,PG,114,English,Richard Donner,Sean Astin,Josh Brolin,0.78,0.77,0.62,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogue One: A Star Wars Story,Star Wars,NA,2016,PG-13,133,English,Gareth Edwards,Felicity Jones,Diego Luna,0.78,0.84,0.65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dr. No,James Bond,NA,1962,PG,110,English,Terence Young,Sean Connery,Ursula Andress,0.72,0.95,0.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chi-Raq,NA,NA,2015,R,127,English,Spike Lee,Nick Cannon,Wesley Snipes,0.57,0.82,0.77,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
From Russia With Love,James Bond,NA,1963,PG,115,English,Terence Young,Sean Connery,Pedro Armendariz,0.74,0.95,0.84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Se7en,NA,NA,1995,R,127,English,David Fincher,Brad Pitt,Morgan Freeman,0.86,0.82,0.65,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"Monsters, Inc.","Monsters, Inc.",NA,2001,G,92,English,Pete Docter,John Goodman,Billy Crystal,0.81,0.96,0.79,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men,NA,NA,1957,NA,96,English,Sidney Lumet,Henry Fonda,Lee J. Cobb,0.9,1,0.96,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Monsters University,"Monsters, Inc.",NA,2013,G,104,English,Dan Scanlon,Billy Crystal,John Goodman,0.73,0.8,0.65,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21 Jump Street,Jump Street,NA,2012,R,109,English,Phil Lord,Jonah Hill,Channing Tatum,0.72,0.84,0.69,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Goldfinger,James Bond,NA,1964,PG,110,English,Guy Hamilton,Sean Connery,Honor Blackman,0.77,0.99,0.87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Infiltrator,NA,NA,2016,R,127,English,Brad Furman,Bryan Cranston,Diane Kruger,0.7,0.72,0.66,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Inside Out,NA,NA,2015,PG,95,English,Pete Docter,Amy Poehler,Phyllis Smith,0.81,0.98,0.94,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: At World's End,Pirates of the Caribbean,NA,2007,PG-13,169,English,Gore Verbinski,Johnny Depp,Orlando Bloom,0.71,0.44,0.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean,NA,2011,PG-13,136,English,Rob Marshall,Johnny Depp,Penelope Cruz,0.66,0.33,0.45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean,NA,2017,PG-13,129,English,Joachim Ronning,Johnny Depp,Javier Bardem,0.65,0.29,0.39,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Frozen,Frozen,NA,2013,PG,102,English,Chris Buck,Kristen Bell,Idina Menzel,0.74,0.9,0.75,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Up,NA,NA,2009,PG,96,English,Pete Docter,Ed Asner,Christopher Plummer,0.82,0.98,0.88,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunderball,James Bond,NA,1965,PG,130,English,Terence Young,Sean Connery,Claudine Auger,0.7,0.86,0.64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Finding Nemo,Finding Nemo,NA,2003,G,100,English,Andrew Stanton,Albert Brooks,Ellen DeGeneres,0.81,0.99,0.9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode IX - The Rise of Skywalker,Star Wars,NA,2019,PG-13,141,English,J.J. Abrams,Mark Hamill,Carrie Fisher,0.66,0.51,0.53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Finding Dory,Finding Nemo,NA,2016,PG,97,English,Andrew Stanton,Ellen DeGeneres,Albert Brooks,0.73,0.94,0.77,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You Only Live Twice,James Bond,NA,1967,PG,117,English,Lewis Gilbert,Sean Connery,Akiko Wakabayashi,0.69,0.73,0.61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Elf,NA,NA,2003,PG,97,English,Jon Favreau,Will Ferrell,James Caan,0.7,0.84,0.64,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chef,NA,NA,2014,R,114,English,Jon Favreau,Jon Favreau,Sofia Vergara,0.73,0.87,0.68,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Fish Called Wanda,NA,NA,1988,R,108,English,Charles Crichton,John Cleese,Jamie Lee Curtis,0.75,0.95,0.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lion King,The Lion King,The Lion King,1994,G,88,English,Roger Allers,Jonathan Taylor Thomas,Matthew Broderick,0.85,0.93,0.88,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lion King,NA,The Lion King,2019,PG,118,English,Jon Favreau,Donald Glover,Seth Rogen,0.69,0.52,0.55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time in the West,Once Upon a Time,NA,1968,PG-13,165,English,Sergio Leone,Claudia Cardinale,Henry Fonda,0.85,0.95,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Megamind,NA,NA,2010,PG,95,English,Tom McGrath,Will Ferrell,Tina Fey,0.72,0.73,0.63,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On Her Majesty's Secret Service,James Bond,NA,1969,PG,142,English,Peter Hunt,George Lazenby,Diana Rigg,0.67,0.81,0.61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
How to Train Your Dragon,How to Train Your Dragon,NA,2010,PG,98,English,Chris Sanders,Jay Baruchel,Gerald Butler,0.81,0.99,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full Metal Jacket,NA,NA,1987,R,116,English,Stanley Kubrick,Matthew Modine,Adam Baldwin,0.83,0.92,0.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Soul,NA,NA,2020,PG,100,English,Pete Docter,Jamie Foxx,Tina Fey,0.82,0.95,0.85,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Placard,NA,NA,2001,R,84,French,Francis Veber,Daniel Auteuil,Gerard Depardieu,0.7,0.85,0.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let's Get Lost,NA,NA,1988,NA,120,English,Bruce Weber,Chet Baker,Carol Baker,0.79,0.96,0.85,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The Color of Money,The Hustler,NA,1986,R,119,English,Martin Scorsese,Paul Newman,Tom Cruise,0.7,0.89,0.77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Antz,NA,NA,1998,PG,83,English,Eric Darnell,Woody Allen,Dan Aykroyd,0.65,0.92,0.72,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Bug's Life,NA,NA,1998,G,95,English,John Lasseter,Dave Foley,Kevin Spacey,0.72,0.92,0.77,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Octopus Teacher,NA,NA,2020,G,85,English,Pippa Ehrlich,Craig Foster,Tom Foster,0.83,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Donnie Brasco,NA,NA,1997,R,127,English,Mike Newell,Al Pacino,Johnny Depp,0.77,0.88,0.76,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Great Gatsby,NA,The Great Gatsby,2013,PG-13,143,English,Baz Luhrmann,Leonardo DiCaprio,Tobey Maguire,0.72,0.48,0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Great Gatsby,NA,The Great Gatsby,1974,PG,144,English,Jack Clayton,Robert Redford,Mia Farrow,0.64,0.39,0.43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Burn After Reading,NA,NA,2008,R,96,English,The Coen Brothers,George Clooney,Frances McDormand,0.7,0.77,0.63,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Brave,NA,NA,2012,PG,93,English,Mark Andrews,Kelly Macdonald,Billy Connolly,0.71,0.78,0.69,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Good Dinosaur,NA,NA,2015,PG,93,English,Peter Sohn,Jeffrey Wright,Frances McDormand,0.67,0.76,0.66,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onward,NA,NA,2020,PG,102,English,Dan Scanlon,Tom Holland,Chris Pratt,0.74,0.88,0.61,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annie Hall,NA,NA,1977,PG,93,English,Woody Allen,Woody Allen,Diane Keaton,0.8,0.98,0.92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Darjeeling Limited,NA,NA,2007,R,91,English,Wes Anderson,Owen Wilson,Adrien Brody,0.72,0.69,0.67,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Goodfellas,NA,NA,1990,R,146,English,Martin Scorsese,Robert De Niro,Ray Liotta,0.87,0.98,0.9,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Rain Man,NA,NA,1988,R,133,English,Barry Levinson,Dustin Hoffman,Tom Cruise,0.8,0.89,0.65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Taxi Driver,NA,NA,1976,R,114,English,Martin Scorsese,Robert De Niro,Jodie Foster,0.83,0.96,0.94,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Casino,NA,NA,1995,R,178,English,Martin Scorsese,Robert De Niro,Sharon Stone,0.82,0.8,0.73,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
A Few Good Men,NA,NA,1992,R,138,English,Rob Reiner,Tom Cruise,Jack Nicholson,0.77,0.83,0.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Moana,NA,NA,2016,PG,107,English,John Musker,Auli'i Cravalho,Dwayne Johnson,0.76,0.95,0.81,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wreck-It Ralph,Wreck-It Ralph,NA,2012,PG,101,English,Rich Moore,John C. Reilly,Sarah Silverman,0.77,0.87,0.72,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Breaks the Internet,Wreck-It Ralph,NA,2018,PG,112,English,Rich Moore,John C. Reilly,Sarah Silverman,0.7,0.88,0.71,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honeyland,NA,NA,2019,NA,89,Turkish,Ljubomir Stefanov,Hatidze Muratova,Nazife Muratova,0.8,1,0.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Won't You Be My Neighbor?,NA,NA,2018,PG-13,95,English,Morgan Neville,Joanne Rogers,John Rogers,0.84,0.97,0.85,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Le Diner de Cons,NA,Le Diner de Cons,1998,PG-13,80,French,Francis Veber,Thierry Lhermitte,Jacques Villeret,0.77,0.74,0.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinner for Schmucks,NA,Le Diner de Cons,2010,PG-13,114,English,Jay Roach,Steve Carell,Paul Rudd,0.59,0.42,0.56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Intouchables,NA,The Intouchables,2011,R,112,French,Oliver Nakache,Francois Cluzet,Omar Sy,0.85,0.75,0.57,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dirty Rotten Scoundrels,NA,Bedtime Story,1988,PG,110,English,Frank Oz,Steve Martin,Michael Caine,0.74,0.89,0.68,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedtime Story,NA,Bedtime Story,1964,NA,99,English,Ralph Levy,Marlon Brando,David Niven,0.68,0.33,0.54,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Inside Man: Most Wanted,Inside Man,NA,2019,R,105,English,M.J. Bassett,Aml Ameen,Rhea Seehorn,0.56,0.37,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible,Mission: Impossible,NA,1996,PG-13,110,English,Brian De Palma,Tom Cruise,Jon Voight,0.71,0.64,0.59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible II,Mission: Impossible,NA,2000,PG-13,123,English,John Woo,Tom Cruise,Dougray Scott,0.61,0.57,0.59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Grizzly Man,NA,NA,2005,R,103,English,Werner Herzog,Timothy Treadwell,Amie Huguenard,0.78,0.92,0.87,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mission: Impossible III,Mission: Impossible,NA,2006,PG-13,126,English,J.J. Abrams,Tom Cruise,Philip Seymour Hoffman,0.69,0.71,0.66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible - Ghost Protocol,Mission: Impossible,NA,2011,PG-13,132,English,Brad Bird,Tom Cruise,Paula Patton,0.74,0.94,0.73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Infernal Affairs,Infernal Affairs,Infernal Affairs,2002,R,101,Cantonese,Andrew Lau,Andy Lau,Tony Leung,0.8,0.94,0.75,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Jiro Dreams of Sushi,NA,NA,2011,PG,81,Japanese,David Gelb,Jiro Ono,Yoshikazu Ono,0.79,0.99,0.77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Assistant,NA,NA,2019,R,87,English,Kitty Green,Julia Garner,Matthew Macfadyen,0.62,0.92,0.79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lady Bird,NA,NA,2017,R,94,English,Greta Gerwig,Saoirse Ronan,Laurie Metcalf,0.74,0.99,0.94,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
How to Train Your Dragon 2,How to Train Your Dragon,NA,2014,PG,102,English,Dean DeBlois,Jay Baruchel,Cate Blanchett,0.78,0.91,0.76,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirai,NA,NA,2018,PG,98,Japanese,Mamoru Hosoda,Gen Hoshino,Kumiko Aso,0.7,0.9,0.81,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sound of Metal,NA,NA,2019,R,120,English,Darius Marder,Riz Ahmed,Olivia Cooke,0.78,0.96,0.81,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
How to Train Your Dragon: The Hidden World,How to Train Your Dragon,NA,2019,PG,104,English,Dead DeBlois,Jay Baruchel,America Ferrera,0.75,0.9,0.71,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Untouchables,NA,NA,1987,R,119,English,Brian De Palma,Kevin Costner,Sean Connery,0.79,0.83,0.79,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Amadeus,NA,NA,1984,R,160,English,Milos Forman,F. Murray Abraham,Tom Hulce,0.83,0.93,0.88,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Richie Rich,Richie Rich,NA,1994,PG,95,English,Donald Petrie,Macaulay Culkin,John Larroquette,0.54,0.24,0.49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kung Fu Panda,Kung Fu Panda,NA,2008,PG,92,English,John Stevenson,Jack Black,Dustin Hoffman,0.75,0.87,0.74,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kung Fu Panda 2,Kung Fu Panda,NA,2011,PG,90,English,Jennifer Yuh Nelson,Jack Black,Angelina Jolie,0.72,0.81,0.67,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kung Fu Panda 3,Kung Fu Panda,NA,2016,PG,95,English,Jennifer Yuh Nelson,Jack Black,Bryan Cranston,0.71,0.87,0.66,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Neighbor Totoro,NA,NA,1988,G,86,Japanese,Hayao Miyazaki,Noriko Hidaka,Chika Sakamoto,0.82,0.94,0.86,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Prestige,NA,NA,2006,PG-13,130,English,Christopher Nolan,Hugh Jackman,Christian Bale,0.85,0.76,0.66,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Weekend at Bernie's,NA,NA,1989,PG-13,97,English,Ted Kotcheff,Andrew McCarthy,Jonathan Silverman,0.64,0.54,0.32,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dig,NA,NA,2021,PG-13,112,English,Simon Stone,Carey Mulligan,Ralph Fiennes,0.72,0.87,0.73,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Groundhog Day,NA,NA,1993,PG,101,English,Harold Ramis,Bill Murray,Andie MacDowell,0.8,0.96,0.72,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Parent Trap,NA,The Parent Trap,1961,G,129,English,David Swift,Hayley Mills,Maureen O'Hara,0.71,0.9,0.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Parent Trap,NA,The Parent Trap,1998,PG,128,English,Nancy Meyers,Lindsay Lohan,Dennis Quaid,0.65,0.86,0.64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
One Hundred and One Dalmatians,NA,One Hundred and One Dalmatians,1961,G,79,English,Wolfgang Reitherman,Rod Taylor,J. Pat O'Malley,0.73,0.98,0.83,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Fair Lady,NA,NA,1964,G,170,English,George Cukor,Audrey Hepburn,Rex Harrison,0.78,0.95,0.95,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
101 Dalmatians,101 Dalmatians,One Hundred and One Dalmatians,1996,G,103,English,Stephen Herek,Glenn Close,Jeff Daniels,0.57,0.41,0.49,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raging Bull,NA,NA,1980,R,129,English,Martin Scorsese,Robert De Niro,Cathy Moriarty,0.82,0.93,0.89,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Kick-Ass,Kick-Ass,NA,2010,R,117,English,Matthew Vaughn,Aaron Taylor-Johnson,Christopher Mintz-Plasse,0.76,0.76,0.66,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ava,NA,NA,2020,R,96,English,Tate Taylor,Jessica Chastain,John Malkovich,0.54,0.17,0.39,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Last Breath,NA,NA,2019,NA,90,English,Alex Parkinson,Duncan Allcock,Stuart Anderson,0.77,0.92,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Touching the Void,NA,NA,2003,R,106,English,Kevin Macdonald,Brendan Mackey,Nicholas Aaron,0.8,0.94,0.82,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Tangled,NA,NA,2010,PG,100,English,Nathan Greno,Zachary Levi,Mandy Moore,0.77,0.89,0.7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capote,NA,NA,2005,R,114,English,Bennett Miller,Philip Seymour Hoffman,Catherine Keener,0.73,0.9,0.88,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Breakfast at Tiffany's,NA,NA,1961,NA,115,English,Blake Edwards,Audrey Hepburn,George Peppard,0.76,0.89,0.76,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bolt,NA,NA,2008,PG,96,English,Chris Williams,John Travolta,Miley Cyrus,0.68,0.89,0.67,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
